LAUNCHED,YPR1,YPR2,YPR3,VOLTAGE
18289,-0.05,0.16,-0.33,3.61
18325,-0.05,0.16,-0.33,3.62
18363,-0.05,0.16,-0.33,3.62
18399,-0.05,0.16,-0.33,3.61
18435,-0.05,0.16,-0.33,3.62
18473,-0.05,0.16,-0.33,3.62
18511,-0.06,0.15,-0.33,3.63
18548,-0.06,0.15,-0.33,3.63
18584,-0.06,0.15,-0.33,3.62
18622,-0.06,0.15,-0.33,3.61
18659,-0.06,0.15,-0.33,3.62
18695,-0.06,0.15,-0.34,3.61
18733,-0.06,0.15,-0.34,3.62
18771,-0.06,0.15,-0.33,3.63
18808,-0.06,0.15,-0.33,3.62
18845,-0.06,0.15,-0.33,3.61
18885,-0.06,0.15,-0.34,3.62
18923,-0.06,0.15,-0.34,3.62
18961,-0.06,0.15,-0.34,3.62
18998,-0.06,0.15,-0.34,3.63
19034,-0.06,0.15,-0.34,3.63
19072,-0.06,0.15,-0.34,3.62
19110,-0.06,0.15,-0.34,3.63
19146,-0.06,0.15,-0.34,3.62
19184,-0.06,0.15,-0.34,3.62
19222,-0.06,0.15,-0.34,3.63
19260,-0.06,0.15,-0.34,3.63
19295,-0.06,0.15,-0.34,3.62
19333,-0.06,0.15,-0.34,3.62
19371,-0.06,0.15,-0.34,3.63
19409,-0.06,0.15,-0.34,3.62
19445,-0.06,0.15,-0.34,3.62
19483,-0.06,0.15,-0.34,3.62
19521,-0.06,0.15,-0.34,3.63
19562,-0.07,0.15,-0.34,3.61
19600,-0.07,0.15,-0.34,3.62
19637,-0.07,0.15,-0.34,3.63
19673,-0.07,0.15,-0.34,3.60
19711,-0.07,0.14,-0.35,3.62
19749,-0.07,0.14,-0.35,3.61
19787,-0.07,0.14,-0.35,3.61
19824,-0.07,0.14,-0.35,3.62
19862,-0.08,0.14,-0.35,3.63
19900,-0.08,0.14,-0.35,3.63
19937,-0.08,0.14,-0.35,3.62
19973,-0.08,0.14,-0.35,3.63
20012,-0.08,0.14,-0.35,3.63
20050,-0.08,0.14,-0.35,3.61
20088,-0.08,0.14,-0.36,3.61
20124,-0.08,0.14,-0.36,3.62
20162,-0.08,0.14,-0.36,4.33
20203,-0.08,0.14,-0.35,3.59
20242,-0.08,0.14,-0.35,3.63
20279,-0.08,0.14,-0.35,3.61
20317,-0.08,0.14,-0.35,3.63
20354,-0.08,0.14,-0.35,3.62
20392,-0.08,0.14,-0.35,3.63
20430,-0.08,0.14,-0.35,3.61
20468,-0.08,0.14,-0.35,3.63
20506,-0.08,0.14,-0.35,3.63
20543,-0.08,0.14,-0.35,3.62
20580,-0.09,0.14,-0.35,3.61
20619,-0.09,0.14,-0.35,3.62
20657,-0.09,0.14,-0.35,3.63
20694,-0.09,0.14,-0.35,3.63
20732,-0.09,0.14,-0.35,3.63
20770,-0.09,0.14,-0.35,3.63
20809,-0.09,0.14,-0.35,3.62
20847,-0.09,0.14,-0.35,3.63
20886,-0.09,0.14,-0.35,3.63
20925,-0.09,0.13,-0.36,3.63
20962,-0.09,0.13,-0.36,3.63
21000,-0.09,0.13,-0.36,3.63
21039,-0.09,0.13,-0.36,3.63
21077,-0.09,0.13,-0.36,3.63
21115,-0.10,0.13,-0.35,3.62
21152,-0.10,0.13,-0.35,3.62
21191,-0.10,0.13,-0.35,3.61
21229,-0.10,0.13,-0.35,3.63
21267,-0.10,0.14,-0.35,3.63
21303,-0.10,0.14,-0.35,3.63
21342,-0.10,0.14,-0.35,3.61
21380,-0.10,0.14,-0.35,3.63
21418,-0.09,0.14,-0.35,3.62
21457,-0.10,0.14,-0.35,3.63
21495,-0.10,0.14,-0.35,3.62
21532,-0.10,0.14,-0.35,3.61
21573,-0.10,0.14,-0.35,3.61
21612,-0.10,0.14,-0.35,3.62
21650,-0.10,0.14,-0.35,3.62
21688,-0.10,0.14,-0.35,3.63
21726,-0.10,0.14,-0.35,3.61
21765,-0.10,0.14,-0.35,3.62
21802,-0.10,0.14,-0.35,3.63
21840,-0.10,0.14,-0.35,3.63
21879,-0.10,0.15,-0.35,3.63
21917,-0.10,0.15,-0.35,3.63
21956,-0.10,0.15,-0.35,3.63
21993,-0.10,0.15,-0.35,3.63
22030,-0.10,0.15,-0.35,3.63
22069,-0.10,0.15,-0.35,3.62
22108,-0.10,0.15,-0.34,3.63
22146,-0.10,0.15,-0.34,3.60
22185,-0.10,0.15,-0.34,3.63
22225,-0.10,0.15,-0.35,3.63
22264,-0.10,0.15,-0.35,3.62
22302,-0.10,0.15,-0.34,3.63
22341,-0.10,0.15,-0.34,3.63
22379,-0.10,0.16,-0.35,3.63
22418,-0.10,0.16,-0.35,3.63
22456,-0.10,0.16,-0.35,3.63
22494,-0.10,0.16,-0.34,3.62
22531,-0.10,0.16,-0.35,3.62
22570,-0.10,0.16,-0.35,3.62
22609,-0.10,0.16,-0.35,3.63
22648,-0.10,0.16,-0.35,3.63
22686,-0.10,0.16,-0.35,3.61
22725,-0.10,0.16,-0.35,3.61
22762,-0.10,0.16,-0.34,3.61
22801,-0.10,0.16,-0.34,3.63
22839,-0.10,0.16,-0.34,3.63
22878,-0.10,0.17,-0.34,3.62
22919,-0.10,0.17,-0.34,3.63
22958,-0.10,0.17,-0.34,3.63
22997,-0.10,0.17,-0.34,3.63
23036,-0.10,0.17,-0.34,3.63
23074,-0.10,0.17,-0.34,3.63
23112,-0.10,0.17,-0.34,3.62
23150,-0.10,0.17,-0.34,3.63
23189,-0.10,0.16,-0.34,3.61
23228,-0.10,0.17,-0.34,3.63
23266,-0.10,0.17,-0.34,3.63
23305,-0.10,0.17,-0.34,3.63
23344,-0.10,0.17,-0.34,3.62
23381,-0.10,0.17,-0.34,3.63
23420,-0.11,0.17,-0.33,3.62
23459,-0.10,0.17,-0.33,3.63
23498,-0.11,0.17,-0.33,3.62
23537,-0.11,0.17,-0.33,3.63
23576,-0.11,0.17,-0.33,3.62
23618,-0.11,0.17,-0.33,3.62
23656,-0.11,0.17,-0.33,3.62
23694,-0.11,0.17,-0.33,3.62
23733,-0.11,0.17,-0.33,3.62
23771,-0.11,0.17,-0.33,3.63
23810,-0.11,0.17,-0.33,3.63
23849,-0.11,0.17,-0.33,3.61
23888,-0.11,0.17,-0.33,3.63
23927,-0.11,0.16,-0.33,3.62
23966,-0.11,0.16,-0.33,3.61
24005,-0.11,0.17,-0.33,3.61
24044,-0.11,0.17,-0.33,3.63
24083,-0.11,0.17,-0.33,3.63
24119,-0.11,0.17,-0.33,3.61
24158,-0.11,0.17,-0.33,3.61
24197,-0.11,0.17,-0.33,3.63
24236,-0.11,0.17,-0.33,3.63
